Year,State,Award Amount
2013,AL,353415
2013,AL,888772
2013,AL,7058
2013,AL,26310
2013,AL,855617
2013,AL,301287
2013,AL,178530
2013,AL,44370
2013,AL,68759
2013,AL,96561
2013,AL,105729
2013,AL,107000
2013,AL,125404
2013,AL,132253
2013,AL,133768
2013,AL,134075
2013,AL,147958
2013,AL,148974
2013,AL,151565
2013,AL,166183
2013,AL,174378
2013,AL,190794
2013,AL,191530
2013,AL,405329
2013,AL,417636
2013,AL,659014
2013,AL,56682
2013,AL,332745
2013,AL,1189911
2013,AL,470893
2013,AL,26964
2013,AL,3776304
2013,AL,1766008
2013,AL,119773
2013,AL,587213
2013,AL,248309
2013,AL,64946
2013,AL,68738
2013,AL,195253
2013,AL,210718
2013,AL,319953
2013,AL,132555
2013,AL,1652536
2013,AL,118270
2013,AL,519116
2013,AL,2262346
2013,AL,156874
2013,AL,734577
2013,AL,28915
2013,AL,141246
2013,AL,167788
2013,AL,68622
2013,AL,826467
2013,AL,1666077
2013,AL,113148
2013,AL,688773
2013,AL,11236
2013,AL,57521
2013,AL,59977
2013,AL,109628
2013,AL,141240
2013,AL,225410
2013,AL,130623
2013,AL,171662
2013,AL,188657
2013,AL,55795
2013,AL,509335
2013,AL,163108
2013,AL,69087
2013,AL,66528
2013,AL,88704
2013,AL,96096
2013,AL,879229
2013,AL,42000
2013,AL,341625
2013,AL,520688
2013,AL,71667
2013,AL,85464
2013,AL,187795
2014,AL,50131
2014,AL,155336
2014,AL,267915
2014,AL,190433
2014,AL,131867
2014,AL,978286
2014,AL,22212610
2014,AL,280307
2014,AL,2315912
2014,AL,8906848
2014,AL,1466392
2014,AL,131211
2014,AL,188852
2014,AL,40741
